01005,WELLGROW(FG 2),2108027,LIFREE-RP-XL 1(SAMP),16740,01005,(UnSelection),FullPallet,4,0,0,4,2019/10/01,0,4,300,UCT,UCT,Std,AllocPossible,(UnSelection),9.480,0.148000,,0,0
01005,WELLGROW(FG 2),0001041,SG-SW16F,16728,01005,(UnSelection),FullPallet,24,0,0,24,2019/10/01,1,0,300,UCT,UCT,Std,AllocPossible,Case,0.000,1.200000,,0,0
01005,WELLGROW(FG 2),0001031,SG-SW4E,16794,01005,(UnSelection),FullPallet,0,0,24,0,2019/11/01,0,0,300,UCT,UCT,Std,AllocPossible,Case,0.000,0.000000,,0,0
01005,WELLGROW(FG 2),0073501,BF-NSW35-AB-18(INDIA)W,14873,D211A00700,Flat,FullPallet,16,0,0,16,2018/09/01,1,0,0,UCT,UCT,Std,AllocPossible,Case,78.400,0.976000,,0,0
01005,WELLGROW(FG 2),0000017,CM-R 16(6)D,16883,D211A00700,Flat,FullPallet,36,36,0,0,2020/02/01,1,0,0,UCT,UCT,Std,AllocPossible,Case,0.000,1.368000,,0,0
01005,WELLGROW(FG 2),3606650,BF-NSW 4R,16844,D211A03400,Flat,FullPallet,72,0,0,72,2019/12/01,3,0,5,UCT,UCT,Std,AllocPossible,(UnSelection),254.160,3.096000,2019/12/02,0,0
01005,WELLGROW(FG 2),2001007,LIFREE-T-M 28B,16285,D211A03500,Flat,FullPallet,56,40,0,16,2018/11/01,7,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),637.840,8.120000,2018/11/30,0,0
01005,WELLGROW(FG 2),2001007,LIFREE-T-M 28B,16285,D211A03600,Flat,FullPallet,120,0,0,120,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),1366.800,17.400000,2018/11/30,0,0
01005,WELLGROW(FG 2),2001007,LIFREE-T-M 28B,16285,D211A03700,Flat,FullPallet,112,0,0,112,2018/11/01,14,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1275.680",16.240000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605471,POKO-HPP D&N-L 62H,15915,D211A03800,Flat,FullPallet,120,24,60,96,2018/11/01,10,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),976.800,10.680000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605411,POKO-HPP D&N-M 17H,15982,D211A03900,Flat,FullPallet,270,270,0,0,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1277.100",16.470000,2018/11/30,0,0
01005,WELLGROW(FG 2),2201010,LIFREE-SP-ST 60F,16184,D211A04000,Flat,FullPallet,240,112,0,128,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1982.400",17.040000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605490,POKO-HPP D&N-XL 3(4)H,16140,D211A04100,Flat,FullPallet,336,0,0,336,2018/11/01,14,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1065.120",14.112000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605471,POKO-HPP D&N-L 62H,15915,D211A04200,Flat,FullPallet,72,24,108,48,2018/11/01,6,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),586.080,6.408000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211A04300,Flat,FullPallet,336,336,24,0,2018/11/01,14,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1401.120",17.808000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605411,POKO-HPP D&N-M 17H,15982,D211A04400,Flat,FullPallet,270,270,0,0,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1277.100",16.470000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605510,POKO-HPP D&N-XL 54H,15923,D211A04500,Flat,FullPallet,12,0,24,12,2018/11/01,1,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),93.600,1.020000,2018/11/30,0,0
01005,WELLGROW(FG 2),3607235,COOL-SUW25-7B,16208,D211A04600,Flat,FullPallet,192,96,0,96,2018/11/01,2,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),389.760,3.072000,2018/11/29,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211A04700,Flat,FullPallet,192,120,168,72,2018/11/01,8,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),800.640,10.176000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211A04800,Flat,FullPallet,144,0,216,144,2018/11/01,6,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),600.480,7.632000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605411,POKO-HPP D&N-M 17H,15982,D211A04900,Flat,FullPallet,270,36,0,234,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1277.100",16.470000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605510,POKO-HPP D&N-XL 54H,15923,D211A04900,Flat,FullPallet,12,0,0,12,2018/11/01,1,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),93.600,1.020000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211A05000,Flat,FullPallet,312,312,48,0,2018/11/01,13,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1301.040",16.536000,2018/11/30,0,0
01005,WELLGROW(FG 2),3606330,COOL-N-SUW25-6,16081,D211A05100,Flat,FullPallet,448,64,0,384,2018/11/01,7,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),851.200,6.272000,2018/11/29,0,0
01005,WELLGROW(FG 2),3605411,POKO-HPP D&N-M 17H,15982,D211A05200,Flat,FullPallet,270,90,0,180,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1277.100",16.470000,2018/11/30,0,0
01005,WELLGROW(FG 2),3607210,COOL-NSW29-5B,15921,D211A05300,Flat,FullPallet,140,60,60,80,2018/11/01,7,0,10,UCT,UCT,Std,AllocPossible,(UnSelection),467.600,5.880000,2018/11/29,0,0
01005,WELLGROW(FG 2),3606710,BF-NSW35-4N,15920,D211A05400,Flat,FullPallet,480,32,0,448,2018/11/01,15,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),"1636.800",20.160000,2018/11/29,0,0
01005,WELLGROW(FG 2),3605471,POKO-HPP D&N-L 62H,15915,D211A06000,Flat,FullPallet,0,0,84,0,2018/11/01,0,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),0.000,0.000000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605410,POKO-HPP D&N-M 4(4)H,16235,D211A06100,Flat,FullPallet,288,120,0,168,2018/11/01,12,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1036.800",13.824000,2019/12/16,0,0
01005,WELLGROW(FG 2),3607235,COOL-SUW25-7B,16208,D211A06200,Flat,FullPallet,"1152",0,0,"1152",2018/11/01,12,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"2338.560",18.432000,2018/11/29,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211A06300,Flat,FullPallet,216,120,144,96,2018/11/01,9,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),900.720,11.448000,2018/11/30,0,0
01005,WELLGROW(FG 2),3606774,BF-NSW33-6A,16418,D211A06400,Flat,FullPallet,96,48,0,48,2018/11/01,2,0,15,UCT,UCT,Std,AllocPossible,(UnSelection),234.240,2.592000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211B01600,Flat,FullPallet,264,264,24,0,2018/11/01,11,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1100.880",13.992000,2018/11/30,0,0
01005,WELLGROW(FG 2),2201010,LIFREE-SP-ST 60F,16184,D211B01700,Flat,FullPallet,128,0,0,128,2018/11/01,8,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1057.280",9.088000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211B01800,Flat,FullPallet,288,288,0,0,2018/11/01,12,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1200.960",15.264000,2018/11/30,0,0
01005,WELLGROW(FG 2),3607235,COOL-SUW25-7B,16208,D211B01900,Flat,FullPallet,"1152",0,0,"1152",2018/11/01,12,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"2338.560",18.432000,2018/11/29,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211B02000,Flat,FullPallet,264,168,24,96,2018/11/01,11,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1100.880",13.992000,2018/11/30,0,0
01005,WELLGROW(FG 2),3606710,BF-NSW35-4N,15920,D211B02100,Flat,FullPallet,384,0,0,384,2018/11/01,12,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1309.440",16.128000,2018/11/29,0,0
01005,WELLGROW(FG 2),3606710,BF-NSW35-4N,15920,D211B02200,Flat,FullPallet,0,0,96,0,2018/11/01,0,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),0.000,0.000000,2018/11/29,0,0
01005,WELLGROW(FG 2),3605510,POKO-HPP D&N-XL 54H,15923,D211B02200,Flat,FullPallet,24,0,0,24,2018/11/01,2,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),187.200,2.040000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211B02300,Flat,FullPallet,96,0,192,96,2018/11/01,4,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),400.320,5.088000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605411,POKO-HPP D&N-M 17H,15982,D211B02400,Flat,FullPallet,108,0,108,108,2018/11/01,6,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),510.840,6.588000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211B02500,Flat,FullPallet,264,144,24,120,2018/11/01,11,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1100.880",13.992000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605411,POKO-HPP D&N-M 17H,15982,D211B02600,Flat,FullPallet,198,0,18,198,2018/11/01,11,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),936.540,12.078000,2018/11/30,0,0
01005,WELLGROW(FG 2),3604050,POKO-PAN(B)L 52J,16247,D211B02700,Flat,FullPallet,198,72,0,126,2018/11/01,11,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),"1100.880",12.672000,2018/11/30,0,0
01005,WELLGROW(FG 2),2107025,LIFREE-RP-L 20I,16316,D211B02800,Flat,FullPallet,96,36,0,60,2018/11/01,8,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),566.400,8.640000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605491,POKO-HPP D&N-XL 13H,15914,D211B02900,Flat,FullPallet,216,216,0,0,2018/11/01,9,0,9,UCT,UCT,Std,AllocPossible,(UnSelection),900.720,11.448000,2018/11/30,0,0
01005,WELLGROW(FG 2),3605471,POKO-HPP D&N-L 62H,15915,D211B03200,Flat,FullPallet,12,0,24,12,2018/11/01,1,0,9,UCT,UCT,Std,AllocPossible,(UnSelection),97.680,1.068000,2018/11/30,0,0
01005,WELLGROW(FG 2),3607210,COOL-NSW29-5B,15921,D211B03300,Flat,FullPallet,0,0,100,0,2018/11/01,0,0,8,UCT,UCT,Std,AllocPossible,(UnSelection),0.000,0.000000,2018/11/29,0,0
01005,WELLGROW(FG 2),2107025,LIFREE-RP-L 20I,16316,D211B03400,Flat,FullPallet,132,0,0,132,2018/11/01,11,0,12,UCT,UCT,Std,AllocPossible,(UnSelection),778.800,11.880000,2018/11/30,0,0
